SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Condition;State;Description;Authority
659450;S;de:14521:20036;de:14521:20036;Brünlos, Abzw nach Zwönitz;50,684232;12,80402;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659453;S;de:14521:20037;de:14521:20037;Brünlos, Am Tampel;50,684807;12,820998;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659456;S;de:14521:20038;de:14521:20038;Brünlos, Gh Waldschlößchen;50,674738;12,806248;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659459;S;de:14521:20039;de:14521:20039;Brünlos, Gemeindeverwaltung;50,685502;12,81604;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659527;S;de:14521:20091;de:14521:20091;Dorfchemnitz, Ortseingang;50,657098;12,831967;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659530;S;de:14521:20093;de:14521:20093;Dorfchemnitz, Siedlung;50,673889;12,841022;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659533;S;de:14521:20094;de:14521:20094;Dorfchemnitz, Wartehalle Thumer Str;50,66831;12,838111;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659672;S;de:14521:20170;de:14521:20170;Günsdorf, Wartehalle;50,667177;12,858512;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659724;S;de:14521:20251;de:14521:20251;Hormersdorf, Am Kieferberg;50,676981;12,879802;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659727;S;de:14521:20252;de:14521:20252;Hormersdorf, Feuerwache;50,671942;12,883826;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659730;S;de:14521:20253;de:14521:20253;Hormersdorf, Gemeindeverwaltung;50,671168;12,88618;14521710;Zwönitz;;;Served;InOrder;;VVO
659733;S;de:14521:20254;de:14521:20254;Hormersdorf, Schieferbruch;50,681375;12,879712;14521710;Zwönitz;-;-;Served;Unknown;;VVO
659736;S;de:14521:20255;de:14521:20255;Hormersdorf, Weg z Jugendherberge;50,668264;12,907443;14521710;Zwönitz;-;-;Served;Unknown;;VVO
